suggested_type,priority_score,population_density,potential_users,nearby_count,nearest_same_type_distance,type_distribution,priority_label,longitude,latitude
Воркаут,1000.0,39509.0,9079.682805021348,1,inf,{'Общая': 1},Высокий,77.00333893328045,43.382490389156615
Футбол,1000.0,39394.0,11606.484217898837,0,inf,{},Высокий,76.98969314362812,43.377197206441785
Баскетбол,1000.0,36507.0,10793.966554570652,11,inf,"{'Общая': 8, 'Воркаут': 3}",Высокий,76.94070169714792,43.35140339413619
Общая,1000.0,38748.0,4451.486767772475,0,inf,{},Высокий,76.93660838727156,43.37607293155859
Баскетбол,500.0,35441.0,10128.611373049021,13,inf,"{'Воркаут': 6, 'Футбол': 4, 'Общая': 3}",Высокий,76.98455990460502,43.30490125148513
Воркаут,500.0,34415.0,6788.011878878283,1,inf,{'Общая': 1},Высокий,76.99455974102035,43.39409078882579
Общая,500.0,38688.0,6939.66694056441,0,inf,{},Высокий,76.94583121048908,43.37234937751547
Футбол,500.0,38361.0,5772.808784586921,0,inf,{},Высокий,76.9435712769846,43.37638151955768
Воркаут,333.3333333333333,38055.0,4451.486767772475,0,inf,{},Высокий,76.93660838727156,43.37607293155859
Баскетбол,250.0,39904.0,7072.152432790029,3,inf,"{'Футбол': 2, 'Общая': 1}",Высокий,76.78226533069298,43.246083392605584
Футбол,250.0,39829.0,2700.4209993729455,1,inf,{'Общая': 1},Высокий,76.99884109569967,43.25467322815958
Воркаут,200.0,39979.0,13515.736597099123,17,inf,"{'Футбол': 10, 'Общая': 4, 'Баскетбол': 3}",Высокий,76.79495988057263,43.2394707485953
Общая,142.85714285714286,39897.0,4357.508890446333,0,inf,{},Средний,76.95924410841427,43.17378686662593
Воркаут,142.85714285714286,40732.105830452434,3796.9230088823606,6,inf,"{'Футбол': 4, 'Общая': 2}",Средний,76.98823966276753,43.20852212643066
Футбол,142.85714285714286,39542.0,5257.508890453722,0,inf,{},Средний,76.96157131523805,43.17531997482222
Воркаут,111.1111111111111,41764.36788713734,4015.802198465769,8,inf,"{'Футбол': 5, 'Теннис': 2, 'Общая': 1}",Средний,76.89474517415485,43.15315644802304
Воркаут,100.0,42634.253796227924,10282.138766943846,12,inf,"{'Общая': 4, 'Футбол': 4, 'Баскетбол': 3, 'Теннис': 1}",Средний,76.81069851246123,43.21232384946179
Воркаут,83.33333333333333,41538.68536649882,10080.981639525342,12,inf,"{'Футбол': 5, 'Общая': 3, 'Теннис': 2, 'Баскетбол': 2}",Средний,76.85578101207986,43.17643135661883
Баскетбол,83.33333333333333,40625.86222667658,7455.759199894992,12,inf,"{'Футбол': 6, 'Общая': 5, 'Воркаут': 1}",Средний,76.89885271891005,43.17412848201668
Воркаут,76.92307692307693,41064.97260320501,19083.69805138077,20,inf,"{'Общая': 9, 'Футбол': 6, 'Баскетбол': 4, 'Теннис': 1}",Средний,76.79826566922935,43.20637041358924
Футбол,12.832094620761573,41643.579685473196,9478.755219578492,6,1154.8885158685416,"{'Общая': 2, 'Футбол': 2, 'Баскетбол': 1, 'Воркаут': 1}",Средний,76.83451665548637,43.31758134404479
Баскетбол,11.727240551395735,40838.77540920687,6886.962508512892,22,1407.2688661674883,"{'Общая': 9, 'Футбол': 7, 'Воркаут': 5, 'Баскетбол': 1}",Средний,76.97870596745393,43.208957871909426
Баскетбол,8.018324328403436,39886.0,11080.24769727442,21,1202.7486492605153,"{'Воркаут': 8, 'Футбол': 6, 'Общая': 5, 'Баскетбол': 2}",Средний,76.85119945842237,43.262537399455105
Общая,7.32652131097526,41773.13613834658,8593.661998302874,15,1098.978196646289,"{'Воркаут': 4, 'Общая': 4, 'Баскетбол': 3, 'Футбол': 3, 'Теннис': 1}",Средний,77.00993008971773,43.27971893626304
Воркаут,7.281567526819619,42398.17831175881,5764.693426157286,17,1310.6821548275316,"{'Общая': 7, 'Футбол': 6, 'Воркаут': 2, 'Баскетбол': 2}",Средний,76.94126286510955,43.19939743356715
Воркаут,6.373260466670936,42199.07551203801,9908.213349904203,10,1402.117302667606,"{'Общая': 5, 'Футбол': 2, 'Баскетбол': 1, 'Теннис': 1, 'Воркаут': 1}",Средний,76.7954764363992,43.19069681539588
Воркаут,5.461175645114714,42398.17831175881,5764.693426157286,17,1310.6821548275316,"{'Общая': 7, 'Футбол': 6, 'Воркаут': 2, 'Баскетбол': 2}",Средний,76.94126286510955,43.19939743356715
Баскетбол,5.03138893818886,42944.1683013479,9350.466845052075,71,1207.5333451653264,"{'Общая': 30, 'Воркаут': 22, 'Футбол': 10, 'Баскетбол': 7, 'Теннис': 2}",Низкий,76.91382578568513,43.27218760982111
Воркаут,4.5581403154372016,42694.838867436716,9662.698975451607,18,546.9768378524641,"{'Баскетбол': 6, 'Футбол': 5, 'Общая': 5, 'Воркаут': 2}",Низкий,76.88245839726986,43.276759065278156
Баскетбол,1.6739209952419352,41298.560358692914,14105.38995386211,62,1054.5702270024192,"{'Футбол': 24, 'Общая': 21, 'Воркаут': 9, 'Баскетбол': 6, 'Теннис': 2}",Низкий,76.85886227711666,43.196622944968624
Баскетбол,1.1588683813213398,41298.560358692914,14105.38995386211,62,1054.5702270024192,"{'Футбол': 24, 'Общая': 21, 'Воркаут': 9, 'Баскетбол': 6, 'Теннис': 2}",Низкий,76.85886227711666,43.196622944968624
Общая,0.8772330789121773,39070.0,15413.162191400583,69,701.7864631297418,"{'Футбол': 23, 'Воркаут': 19, 'Общая': 15, 'Баскетбол': 12}",Низкий,76.8273877028999,43.22065859391355
Баскетбол,0.7841512131973941,37238.0,18048.187861518283,117,1121.3362348722735,"{'Футбол': 44, 'Общая': 32, 'Воркаут': 28, 'Баскетбол': 12, 'Теннис': 1}",Низкий,76.85876146392614,43.20231819367176
Баскетбол,0.5690676645002654,38959.0,17871.580909621043,134,1024.3217961004775,"{'Футбол': 46, 'Воркаут': 34, 'Общая': 33, 'Баскетбол': 17, 'Теннис': 4}",Низкий,76.85737891508955,43.2040516580199
Общая,0.48865425196561724,38754.0,25554.076347623297,100,586.3851023587407,"{'Футбол': 39, 'Воркаут': 22, 'Баскетбол': 20, 'Общая': 19}",Низкий,76.8258788124755,43.227605983414435
Футбол,0.39815616108379237,5608.683576335678,19998.488374307257,162,716.6810899508264,"{'Общая': 63, 'Воркаут': 43, 'Футбол': 29, 'Баскетбол': 25, 'Теннис': 2}",Низкий,76.90923340272596,43.26286566658909
Футбол,0.3826853107911501,37728.9397374914,27588.48837429917,180,574.0279661867252,"{'Общая': 72, 'Воркаут': 47, 'Баскетбол': 29, 'Футбол': 29, 'Теннис': 3}",Низкий,76.90879629125911,43.26122071779721
Баскетбол,0.2774290194934461,5833.864147316239,18879.058342286888,176,466.08075274898954,"{'Общая': 79, 'Воркаут': 49, 'Футбол': 26, 'Баскетбол': 20, 'Теннис': 2}",Низкий,76.9220449035473,43.265712545309974
Общая,0.25482326580634823,36661.457684660025,18628.372272926394,153,489.2606703481886,"{'Общая': 47, 'Футбол': 43, 'Баскетбол': 36, 'Воркаут': 26, 'Теннис': 1}",Низкий,76.89636845460062,43.25781861791014
Баскетбол,0.22669773953102573,9508.615651906926,22212.633027046344,175,523.6717783166695,"{'Общая': 66, 'Воркаут': 43, 'Баскетбол': 32, 'Футбол': 31, 'Теннис': 3}",Низкий,76.90521690414309,43.25961554180268
